Lung_R Dose (Gy),Lung_R Value (% of 1462.670 cc),L_kidney Dose (Gy),L_kidney Value (% of 156.316 cc),R_DeepFemoral Dose (Gy),R_DeepFemoral Value (% of 6327.210 cc),L_AnteriorTib Dose (Gy),L_AnteriorTib Value (% of 1734.620 cc),L_Arm Region Dose (Gy),L_Arm Region Value (% of 1127.230 cc),L_InterIliac Dose (Gy),L_InterIliac Value (% of 2372.120 cc),R_PostTib Dose (Gy),R_PostTib Value (% of 1681.970 cc),Spleen Dose (Gy),Spleen Value (% of 153.090 cc),L_heart Dose (Gy),L_heart Value (% of 165.252 cc),Lung_L Dose (Gy),Lung_L Value (% of 1460.820 cc),Liver Dose (Gy),Liver Value (% of 1795.660 cc),Brain Dose (Gy),Brain Value (% of 1276.600 cc),R_Heart Dose (Gy),R_Heart Value (% of 147.662 cc),R_AnteriorTib Dose (Gy),R_AnteriorTib Value (% of 1752.930 cc),S_int Dose (Gy),S_int Value (% of 1231.790 cc),R_InterIliac Dose (Gy),R_InterIliac Value (% of 2566.170 cc),R_Arm Region Dose (Gy),R_Arm Region Value (% of 1074.610 cc),R_Kidney Dose (Gy),R_Kidney Value (% of 153.867 cc),L_DeepFemoral Dose (Gy),L_DeepFemoral Value (% of 6255.930 cc),Pancreas Dose (Gy),Pancreas Value (% of 129.320 cc),L_int Dose (Gy),L_int Value (% of 825.443 cc),Stomach Dose (Gy),Stomach Value (% of 282.426 cc),L_PostTib Dose (Gy),L_PostTib Value (% of 1853.340 cc),
3.900000,100.000000,3.900000,73.002724,3.900000,0.000000,3.900000,0.000000,3.900000,0.053193,3.900000,0.000000,3.900000,0.000000,3.900000,100.000000,3.900000,100.000000,3.900000,100.000000,3.900000,99.292784,3.900000,0.000000,3.900000,100.000000,3.900000,0.000000,3.900000,33.384495,3.900000,0.000000,3.900000,1.258638,3.900000,45.884742,3.900000,0.000000,3.900000,99.503111,3.900000,51.631581,3.900000,100.000000,3.900000,0.000000,
4.100000,100.000000,4.100000,71.270960,4.100000,0.000000,4.100000,0.000000,4.100000,0.012822,4.100000,0.000000,4.100000,0.000000,4.100000,100.000000,4.100000,100.000000,4.100000,100.000000,4.100000,99.069590,4.100000,0.000000,4.100000,100.000000,4.100000,0.000000,4.100000,32.847613,4.100000,0.000000,4.100000,0.876957,4.100000,43.890581,4.100000,0.000000,4.100000,99.057573,4.100000,50.970004,4.100000,100.000000,4.100000,0.000000,
4.300000,100.000000,4.300000,69.175600,4.300000,0.000000,4.300000,0.000000,4.300000,0.002946,4.300000,0.000000,4.300000,0.000000,4.300000,100.000000,4.300000,100.000000,4.300000,100.000000,4.300000,98.821706,4.300000,0.000000,4.300000,100.000000,4.300000,0.000000,4.300000,32.346566,4.300000,0.000000,4.300000,0.582699,4.300000,42.242955,4.300000,0.000000,4.300000,98.473086,4.300000,50.298963,4.300000,100.000000,4.300000,0.000000,
4.500000,100.000000,4.500000,67.222680,4.500000,0.000000,4.500000,0.000000,4.500000,0.000693,4.500000,0.000000,4.500000,0.000000,4.500000,100.000000,4.500000,100.000000,4.500000,100.000000,4.500000,98.586221,4.500000,0.000000,4.500000,100.000000,4.500000,0.000000,4.500000,31.892770,4.500000,0.000000,4.500000,0.371321,4.500000,40.973597,4.500000,0.000000,4.500000,98.023017,4.500000,49.621061,4.500000,100.000000,4.500000,0.000000,
4.700000,99.997329,4.700000,65.287253,4.700000,0.000000,4.700000,0.000000,4.700000,0.000000,4.700000,0.000000,4.700000,0.000000,4.700000,100.000000,4.700000,100.000000,4.700000,100.000000,4.700000,98.381627,4.700000,0.000000,4.700000,100.000000,4.700000,0.000000,4.700000,31.451499,4.700000,0.000000,4.700000,0.231735,4.700000,39.889566,4.700000,0.000000,4.700000,97.572948,4.700000,48.977704,4.700000,100.000000,4.700000,0.000000,
4.900000,99.973694,4.900000,63.500512,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,0.000000,4.900000,100.000000,4.900000,100.000000,4.900000,99.998128,4.900000,98.176924,4.900000,0.000000,4.900000,100.000000,4.900000,0.000000,4.900000,31.008643,4.900000,0.000000,4.900000,0.118321,4.900000,38.927393,4.900000,0.000000,4.900000,97.221048,4.900000,48.364870,4.900000,100.000000,4.900000,0.000000,
5.100000,99.852314,5.100000,61.402654,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,0.000000,5.100000,100.000000,5.100000,100.000000,5.100000,99.986229,5.100000,98.000283,5.100000,0.000000,5.100000,100.000000,5.100000,0.000000,5.100000,30.541527,5.100000,0.000000,5.100000,0.050164,5.100000,37.949987,5.100000,0.000000,5.100000,96.843472,5.100000,47.745885,5.100000,100.000000,5.100000,0.000000,
5.300000,99.403780,5.300000,59.252318,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,0.000000,5.300000,100.000000,5.300000,100.000000,5.300000,99.923924,5.300000,97.836694,5.300000,0.000000,5.300000,100.000000,5.300000,0.000000,5.300000,30.041114,5.300000,0.000000,5.300000,0.015449,5.300000,36.919269,5.300000,0.000000,5.300000,96.493083,5.300000,47.160262,5.300000,100.000000,5.300000,0.000000,
5.500000,98.403627,5.500000,57.314391,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,0.000000,5.500000,100.000000,5.500000,100.000000,5.500000,99.688344,5.500000,97.691379,5.500000,0.000000,5.500000,100.000000,5.500000,0.000000,5.500000,29.469667,5.500000,0.000000,5.500000,0.002363,5.500000,35.685453,5.500000,0.000000,5.500000,96.124570,5.500000,46.501762,5.500000,100.000000,5.500000,0.000000,
5.700000,96.746229,5.700000,55.756304,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,0.000000,5.700000,100.000000,5.700000,100.000000,5.700000,99.122255,5.700000,97.556723,5.700000,0.000000,5.700000,100.000000,5.700000,0.000000,5.700000,28.879351,5.700000,0.000000,5.700000,0.000364,5.700000,33.976898,5.700000,0.000000,5.700000,95.746995,5.700000,45.747196,5.700000,100.000000,5.700000,0.000000,
